method_id,domain,anchor_pct,comp_k,alpha_eff_aligned,abs_importance,top_positive_features,top_negative_features,dominant_family,family_purity,auto_label
es_svd_ms_rr_r1,science,10,3,6.371890333220731e-05,6.371890333220731e-05,traj_continuity::raw;traj_continuity::rank;tok_gini_slope::raw;tok_gini_tail::raw;tok_logprob_recency::raw,traj_novelty::rank;traj_novelty::raw;traj_max_reflection::raw;traj_max_reflection::rank;traj_reflection_count::rank,trajectory,0.5294121657257551,trajectory(↓)
es_svd_ms_rr_r1,science,10,4,1.2095660920377156e-05,1.2095660920377156e-05,traj_continuity::rank;tok_conf_prefix::raw;tok_conf_prefix::rank;tok_conf_recency::raw;tok_logprob_prefix::rank,tok_gini_slope::raw;tok_gini_slope::rank;tok_gini_tail::rank;traj_late_convergence::raw;tok_gini_tail::raw,uncertainty,0.45522242722362355,uncertainty(↓)
es_svd_ms_rr_r1,science,10,5,0.0015815392300577733,0.0015815392300577733,traj_late_convergence::raw;traj_late_convergence::rank;traj_continuity::raw;traj_continuity::rank;traj_reflection_count::rank,tok_gini_slope::rank;tok_gini_tail::rank;tok_gini_slope::raw;tok_gini_tail::raw;traj_novelty::raw,trajectory,0.5784255724515746,trajectory(↑)
es_svd_ms_rr_r1,science,10,6,0.00014818614709183908,0.00014818614709183908,traj_continuity::raw;traj_reflection_count::rank;traj_max_reflection::rank;traj_novelty::rank;tok_gini_slope::raw,traj_novelty::raw;traj_late_convergence::raw;traj_late_convergence::rank;traj_max_reflection::raw;traj_reflection_count::raw,trajectory,0.6731752346547226,trajectory(↑)
es_svd_ms_rr_r1,science,10,7,0.0024919333032797763,0.0024919333032797763,traj_continuity::rank;traj_max_reflection::raw;traj_reflection_count::raw;tok_gini_slope::rank;traj_continuity::raw,traj_novelty::rank;traj_late_convergence::raw;traj_late_convergence::rank;tok_logprob_prefix::raw;tok_logprob_recency::raw,trajectory,0.6068374951038016,trajectory(↑)
es_svd_ms_rr_r1,science,10,8,3.0070731456022642e-05,3.0070731456022642e-05,tok_gini_slope::rank;tok_gini_slope::raw;traj_max_reflection::rank;tok_logprob_recency::rank;tok_logprob_prefix::rank,tok_gini_tail::rank;tok_gini_tail::raw;traj_reflection_count::rank;traj_continuity::raw;tok_conf_prefix::rank,uncertainty,0.7638382071851989,uncertainty(↓)
es_svd_ms_rr_r1,science,10,9,0.0019110990820493136,0.0019110990820493136,traj_reflection_count::raw;traj_reflection_count::rank;tok_conf_prefix::rank;tok_conf_recency::rank;tok_gini_slope::rank,traj_max_reflection::rank;traj_max_reflection::raw;tok_logprob_prefix::rank;tok_logprob_recency::rank;tok_logprob_prefix::raw,trajectory,0.5236363176277572,trajectory(↓)
es_svd_ms_rr_r1,science,10,10,0.0005640261308494258,0.0005640261308494258,tok_conf_prefix::rank;tok_conf_recency::rank;traj_max_reflection::raw;traj_max_reflection::rank;tok_conf_recency::raw,tok_logprob_prefix::rank;tok_logprob_recency::rank;traj_reflection_count::rank;traj_reflection_count::raw;tok_logprob_prefix::raw,self_cert_logprob,0.3868220527314933,self_cert_logprob(↓)
es_svd_ms_rr_r1,science,10,11,0.00676171759468011,0.00676171759468011,traj_continuity::raw;traj_reflection_count::raw;tok_conf_prefix::raw;tok_conf_recency::raw;tok_logprob_recency::rank,traj_continuity::rank;tok_logprob_prefix::raw;tok_logprob_recency::raw;traj_reflection_count::rank;traj_novelty::raw,trajectory,0.48379728779944325,trajectory(↑)
es_svd_ms_rr_r1,science,10,12,0.0009024864063731085,0.0009024864063731085,tok_conf_prefix::rank;tok_conf_recency::rank;tok_logprob_prefix::rank;tok_logprob_recency::rank;tok_conf_recency::raw,tok_gini_prefix::rank;tok_neg_entropy_recency::rank;tok_selfcert_recency::rank;tok_neg_entropy_prefix::rank;tok_selfcert_prefix::rank,uncertainty,0.3070588054095015,uncertainty(↓)
es_svd_ms_rr_r1,science,10,13,0.007900232510328373,0.007900232510328373,tok_gini_slope::raw;tok_gini_tail::raw;traj_reflection_count::raw;traj_novelty::raw;traj_max_reflection::raw,tok_gini_slope::rank;tok_gini_tail::rank;tok_logprob_prefix::raw;traj_reflection_count::rank;tok_logprob_recency::raw,uncertainty,0.527953666781749,uncertainty(↑)
es_svd_ms_rr_r1,science,10,14,0.00039105780439465244,0.00039105780439465244,traj_reflection_count::raw;traj_max_reflection::rank;tok_logprob_prefix::raw;tok_logprob_recency::raw;traj_reflection_count::rank,traj_novelty::rank;traj_continuity::rank;traj_novelty::raw;tok_conf_recency::raw;tok_conf_prefix::raw,trajectory,0.6473163986107644,trajectory(↓)
es_svd_ms_rr_r1,science,10,15,0.0004112752879001521,0.0004112752879001521,traj_reflection_count::rank;tok_conf_recency::raw;tok_conf_prefix::raw;traj_max_reflection::raw;tok_logprob_recency::rank,traj_reflection_count::raw;traj_novelty::rank;tok_logprob_prefix::raw;tok_logprob_recency::raw;traj_continuity::raw,trajectory,0.5198793725324999,trajectory(↓)
es_svd_ms_rr_r1,science,10,0,0.000993449990558274,0.000993449990558274,tok_gini_prefix::raw;tok_selfcert_recency::raw;tok_neg_entropy_recency::raw;tok_neg_entropy_prefix::raw;tok_selfcert_prefix::raw,traj_novelty::rank;traj_max_reflection::rank;traj_reflection_count::rank;has_tok_neg_entropy::rank;has_tok_conf::rank,uncertainty,0.39461933040015384,uncertainty(↑)
es_svd_ms_rr_r1,science,10,1,0.0015120654274790892,0.0015120654274790892,traj_novelty::raw;tok_conf_prefix::raw;tok_conf_recency::raw;traj_reflection_count::raw;traj_max_reflection::raw,tok_selfcert_recency::rank;tok_neg_entropy_recency::rank;tok_neg_entropy_prefix::rank;tok_selfcert_prefix::rank;tok_gini_prefix::rank,self_cert_logprob,0.28507482967868286,self_cert_logprob(↓)
es_svd_ms_rr_r1,science,10,2,0.00032508010606310415,0.00032508010606310415,tok_conf_prefix::raw;tok_conf_recency::raw;tok_logprob_prefix::raw;tok_logprob_recency::raw;tok_neg_entropy_prefix::raw,has_tok_neg_entropy::rank;has_tok_selfcert::rank;has_tok_logprob::rank;has_rows_bank::rank;has_tok_gini::rank,availability_meta,0.587297609846075,availability_meta(↓)
es_svd_ms_rr_r1,science,10,3,6.371890333220731e-05,6.371890333220731e-05,traj_continuity::raw;traj_continuity::rank;tok_gini_slope::raw;tok_gini_tail::raw;tok_logprob_recency::raw,traj_novelty::rank;traj_novelty::raw;traj_max_reflection::raw;traj_max_reflection::rank;traj_reflection_count::rank,trajectory,0.5294121657257551,trajectory(↓)
es_svd_ms_rr_r1,science,10,4,1.2095660920377156e-05,1.2095660920377156e-05,traj_continuity::rank;tok_conf_prefix::raw;tok_conf_prefix::rank;tok_conf_recency::raw;tok_logprob_prefix::rank,tok_gini_slope::raw;tok_gini_slope::rank;tok_gini_tail::rank;traj_late_convergence::raw;tok_gini_tail::raw,uncertainty,0.45522242722362355,uncertainty(↓)
es_svd_ms_rr_r1,science,10,5,0.0015815392300577733,0.0015815392300577733,traj_late_convergence::raw;traj_late_convergence::rank;traj_continuity::raw;traj_continuity::rank;traj_reflection_count::rank,tok_gini_slope::rank;tok_gini_tail::rank;tok_gini_slope::raw;tok_gini_tail::raw;traj_novelty::raw,trajectory,0.5784255724515746,trajectory(↑)
es_svd_ms_rr_r1,science,10,6,0.00014818614709183908,0.00014818614709183908,traj_continuity::raw;traj_reflection_count::rank;traj_max_reflection::rank;traj_novelty::rank;tok_gini_slope::raw,traj_novelty::raw;traj_late_convergence::raw;traj_late_convergence::rank;traj_max_reflection::raw;traj_reflection_count::raw,trajectory,0.6731752346547226,trajectory(↑)
es_svd_ms_rr_r1,science,10,7,0.0024919333032797763,0.0024919333032797763,traj_continuity::rank;traj_max_reflection::raw;traj_reflection_count::raw;tok_gini_slope::rank;traj_continuity::raw,traj_novelty::rank;traj_late_convergence::raw;traj_late_convergence::rank;tok_logprob_prefix::raw;tok_logprob_recency::raw,trajectory,0.6068374951038016,trajectory(↑)
es_svd_ms_rr_r1,science,10,8,3.0070731456022642e-05,3.0070731456022642e-05,tok_gini_slope::rank;tok_gini_slope::raw;traj_max_reflection::rank;tok_logprob_recency::rank;tok_logprob_prefix::rank,tok_gini_tail::rank;tok_gini_tail::raw;traj_reflection_count::rank;traj_continuity::raw;tok_conf_prefix::rank,uncertainty,0.7638382071851989,uncertainty(↓)
es_svd_ms_rr_r1,science,10,9,0.0019110990820493136,0.0019110990820493136,traj_reflection_count::raw;traj_reflection_count::rank;tok_conf_prefix::rank;tok_conf_recency::rank;tok_gini_slope::rank,traj_max_reflection::rank;traj_max_reflection::raw;tok_logprob_prefix::rank;tok_logprob_recency::rank;tok_logprob_prefix::raw,trajectory,0.5236363176277572,trajectory(↓)
es_svd_ms_rr_r1,science,10,10,0.0005640261308494258,0.0005640261308494258,tok_conf_prefix::rank;tok_conf_recency::rank;traj_max_reflection::raw;traj_max_reflection::rank;tok_conf_recency::raw,tok_logprob_prefix::rank;tok_logprob_recency::rank;traj_reflection_count::rank;traj_reflection_count::raw;tok_logprob_prefix::raw,self_cert_logprob,0.3868220527314933,self_cert_logprob(↓)
es_svd_ms_rr_r1,science,10,11,0.00676171759468011,0.00676171759468011,traj_continuity::raw;traj_reflection_count::raw;tok_conf_prefix::raw;tok_conf_recency::raw;tok_logprob_recency::rank,traj_continuity::rank;tok_logprob_prefix::raw;tok_logprob_recency::raw;traj_reflection_count::rank;traj_novelty::raw,trajectory,0.48379728779944325,trajectory(↑)
es_svd_ms_rr_r1,science,10,12,0.0009024864063731085,0.0009024864063731085,tok_conf_prefix::rank;tok_conf_recency::rank;tok_logprob_prefix::rank;tok_logprob_recency::rank;tok_conf_recency::raw,tok_gini_prefix::rank;tok_neg_entropy_recency::rank;tok_selfcert_recency::rank;tok_neg_entropy_prefix::rank;tok_selfcert_prefix::rank,uncertainty,0.3070588054095015,uncertainty(↓)
es_svd_ms_rr_r1,science,10,13,0.007900232510328373,0.007900232510328373,tok_gini_slope::raw;tok_gini_tail::raw;traj_reflection_count::raw;traj_novelty::raw;traj_max_reflection::raw,tok_gini_slope::rank;tok_gini_tail::rank;tok_logprob_prefix::raw;traj_reflection_count::rank;tok_logprob_recency::raw,uncertainty,0.527953666781749,uncertainty(↑)
es_svd_ms_rr_r1,science,10,14,0.00039105780439465244,0.00039105780439465244,traj_reflection_count::raw;traj_max_reflection::rank;tok_logprob_prefix::raw;tok_logprob_recency::raw;traj_reflection_count::rank,traj_novelty::rank;traj_continuity::rank;traj_novelty::raw;tok_conf_recency::raw;tok_conf_prefix::raw,trajectory,0.6473163986107644,trajectory(↓)
es_svd_ms_rr_r1,science,10,15,0.0004112752879001521,0.0004112752879001521,traj_reflection_count::rank;tok_conf_recency::raw;tok_conf_prefix::raw;traj_max_reflection::raw;tok_logprob_recency::rank,traj_reflection_count::raw;traj_novelty::rank;tok_logprob_prefix::raw;tok_logprob_recency::raw;traj_continuity::raw,trajectory,0.5198793725324999,trajectory(↓)
es_svd_ms_rr_r1,science,40,0,0.022713609808542114,0.022713609808542114,tok_gini_prefix::raw;tok_selfcert_recency::raw;tok_neg_entropy_recency::raw;tok_neg_entropy_prefix::raw;tok_selfcert_prefix::raw,traj_novelty::rank;traj_max_reflection::rank;traj_reflection_count::rank;traj_novelty::raw;traj_max_reflection::raw,uncertainty,0.3755489210776378,uncertainty(↑)
es_svd_ms_rr_r1,science,40,1,0.02870317621963934,0.02870317621963934,tok_logprob_prefix::raw;tok_logprob_recency::raw;tok_conf_prefix::raw;tok_neg_entropy_prefix::raw;tok_selfcert_prefix::raw,tok_selfcert_recency::rank;tok_neg_entropy_recency::rank;tok_neg_entropy_prefix::rank;tok_selfcert_prefix::rank;tok_gini_prefix::rank,self_cert_logprob,0.34954823261228996,self_cert_logprob(↓)
es_svd_ms_rr_r1,science,40,2,0.000338822947976107,0.000338822947976107,tok_logprob_prefix::raw;tok_logprob_recency::raw;tok_selfcert_prefix::raw;tok_neg_entropy_prefix::raw;tok_gini_prefix::raw,has_tok_neg_entropy::rank;has_tok_selfcert::rank;has_tok_logprob::rank;has_rows_bank::rank;has_tok_gini::rank,availability_meta,0.8011358424980068,availability_meta(↓)
es_svd_ms_rr_r1,science,40,3,0.009422987081799224,0.009422987081799224,traj_continuity::raw;tok_gini_slope::raw;tok_gini_tail::raw;tok_gini_slope::rank;traj_continuity::rank,traj_max_reflection::raw;traj_novelty::raw;traj_reflection_count::raw;traj_novelty::rank;traj_max_reflection::rank,trajectory,0.5580262833408971,trajectory(↓)
es_svd_ms_rr_r1,science,40,4,0.006071992694966965,0.006071992694966965,traj_late_convergence::raw;tok_gini_slope::rank;tok_gini_slope::raw;tok_gini_tail::rank;traj_late_convergence::rank,traj_continuity::rank;traj_continuity::raw;tok_conf_prefix::rank;has_tok_logprob::rank;has_tok_neg_entropy::rank,trajectory,0.4467343742349795,trajectory(↑)
es_svd_ms_rr_r1,science,40,5,0.04740042381376528,0.04740042381376528,traj_reflection_count::rank;traj_continuity::raw;traj_max_reflection::rank;tok_conf_prefix::rank;tok_conf_recency::rank,traj_novelty::raw;tok_logprob_recency::rank;tok_logprob_prefix::rank;tok_gini_slope::rank;tok_logprob_prefix::raw,trajectory,0.5868093919307629,trajectory(↑)
es_svd_ms_rr_r1,science,40,6,0.031324067656112,0.031324067656112,traj_continuity::rank;traj_late_convergence::raw;traj_reflection_count::raw;traj_late_convergence::rank;traj_max_reflection::raw,traj_novelty::rank;traj_max_reflection::rank;tok_gini_slope::raw;tok_gini_tail::raw;traj_reflection_count::rank,trajectory,0.6824190048049051,trajectory(↑)
es_svd_ms_rr_r1,science,40,7,0.011621812187217624,0.011621812187217624,tok_gini_slope::rank;traj_continuity::rank;tok_gini_tail::rank;tok_gini_slope::raw;traj_reflection_count::raw,traj_late_convergence::raw;traj_late_convergence::rank;traj_novelty::rank;tok_logprob_prefix::rank;tok_neg_entropy_prefix::rank,trajectory,0.5250191418616209,trajectory(↓)
es_svd_ms_rr_r1,science,40,8,0.001450006607065142,0.001450006607065142,traj_reflection_count::rank;traj_reflection_count::raw;tok_gini_tail::rank;tok_conf_recency::rank;tok_conf_prefix::rank,traj_max_reflection::rank;traj_max_reflection::raw;traj_continuity::rank;traj_continuity::raw;tok_logprob_prefix::rank,trajectory,0.7047269520194288,trajectory(↓)
es_svd_ms_rr_r1,science,40,9,0.0032553351851763966,0.0032553351851763966,tok_gini_slope::rank;tok_gini_slope::raw;traj_novelty::raw;tok_conf_recency::rank;traj_late_convergence::raw,tok_gini_tail::rank;tok_gini_tail::raw;traj_max_reflection::rank;traj_continuity::raw;traj_max_reflection::raw,uncertainty,0.7124532153539219,uncertainty(↓)
es_svd_ms_rr_r1,science,40,10,0.12367786213358398,0.12367786213358398,traj_continuity::raw;traj_reflection_count::raw;tok_conf_prefix::raw;tok_conf_recency::raw;tok_gini_slope::rank,traj_continuity::rank;traj_reflection_count::rank;traj_novelty::raw;tok_logprob_recency::raw;tok_logprob_prefix::raw,trajectory,0.4744506917770436,trajectory(↑)
es_svd_ms_rr_r1,science,40,11,0.025573262840013808,0.025573262840013808,tok_conf_recency::rank;tok_conf_prefix::rank;tok_conf_recency::raw;tok_conf_prefix::raw;traj_max_reflection::raw,traj_reflection_count::rank;tok_logprob_recency::rank;tok_logprob_prefix::rank;traj_continuity::rank;traj_novelty::rank,confidence,0.3244743714797281,confidence(↑)
es_svd_ms_rr_r1,science,40,12,0.1454296602874218,0.1454296602874218,tok_gini_slope::raw;traj_reflection_count::raw;tok_gini_tail::raw;traj_novelty::raw;traj_late_convergence::raw,tok_gini_slope::rank;traj_late_convergence::rank;tok_gini_tail::rank;tok_logprob_prefix::raw;tok_logprob_recency::raw,uncertainty,0.4793798167124229,uncertainty(↑)
es_svd_ms_rr_r1,science,40,13,0.015675561159106777,0.015675561159106777,traj_novelty::rank;traj_continuity::rank;traj_novelty::raw;tok_gini_prefix::rank;traj_continuity::raw,tok_logprob_prefix::rank;tok_logprob_recency::rank;traj_reflection_count::rank;traj_max_reflection::rank;tok_conf_prefix::rank,trajectory,0.5006037192414651,trajectory(↑)
es_svd_ms_rr_r1,science,40,14,0.013264764126402876,0.013264764126402876,tok_logprob_prefix::rank;tok_logprob_recency::rank;traj_novelty::rank;traj_continuity::rank;tok_conf_recency::rank,tok_gini_prefix::rank;tok_neg_entropy_prefix::rank;tok_selfcert_prefix::rank;tok_neg_entropy_recency::rank;tok_selfcert_recency::rank,self_cert_logprob,0.33185921590815504,self_cert_logprob(↑)
es_svd_ms_rr_r1,science,40,15,0.04480332423749841,0.04480332423749841,tok_conf_recency::raw;tok_conf_prefix::raw;traj_reflection_count::rank;traj_max_reflection::raw;traj_novelty::raw,traj_reflection_count::raw;tok_logprob_prefix::raw;tok_logprob_recency::raw;traj_novelty::rank;tok_conf_recency::rank,trajectory,0.4417538155222878,trajectory(↓)
es_svd_ms_rr_r1,science,40,0,0.022713609808542114,0.022713609808542114,tok_gini_prefix::raw;tok_selfcert_recency::raw;tok_neg_entropy_recency::raw;tok_neg_entropy_prefix::raw;tok_selfcert_prefix::raw,traj_novelty::rank;traj_max_reflection::rank;traj_reflection_count::rank;traj_novelty::raw;traj_max_reflection::raw,uncertainty,0.3755489210776378,uncertainty(↑)
es_svd_ms_rr_r1,science,40,1,0.02870317621963934,0.02870317621963934,tok_logprob_prefix::raw;tok_logprob_recency::raw;tok_conf_prefix::raw;tok_neg_entropy_prefix::raw;tok_selfcert_prefix::raw,tok_selfcert_recency::rank;tok_neg_entropy_recency::rank;tok_neg_entropy_prefix::rank;tok_selfcert_prefix::rank;tok_gini_prefix::rank,self_cert_logprob,0.34954823261228996,self_cert_logprob(↓)
es_svd_ms_rr_r1,science,40,2,0.000338822947976107,0.000338822947976107,tok_logprob_prefix::raw;tok_logprob_recency::raw;tok_selfcert_prefix::raw;tok_neg_entropy_prefix::raw;tok_gini_prefix::raw,has_tok_neg_entropy::rank;has_tok_selfcert::rank;has_tok_logprob::rank;has_rows_bank::rank;has_tok_gini::rank,availability_meta,0.8011358424980068,availability_meta(↓)
es_svd_ms_rr_r1,science,40,3,0.009422987081799224,0.009422987081799224,traj_continuity::raw;tok_gini_slope::raw;tok_gini_tail::raw;tok_gini_slope::rank;traj_continuity::rank,traj_max_reflection::raw;traj_novelty::raw;traj_reflection_count::raw;traj_novelty::rank;traj_max_reflection::rank,trajectory,0.5580262833408971,trajectory(↓)
es_svd_ms_rr_r1,science,40,4,0.006071992694966965,0.006071992694966965,traj_late_convergence::raw;tok_gini_slope::rank;tok_gini_slope::raw;tok_gini_tail::rank;traj_late_convergence::rank,traj_continuity::rank;traj_continuity::raw;tok_conf_prefix::rank;has_tok_logprob::rank;has_tok_neg_entropy::rank,trajectory,0.4467343742349795,trajectory(↑)
es_svd_ms_rr_r1,science,40,5,0.04740042381376528,0.04740042381376528,traj_reflection_count::rank;traj_continuity::raw;traj_max_reflection::rank;tok_conf_prefix::rank;tok_conf_recency::rank,traj_novelty::raw;tok_logprob_recency::rank;tok_logprob_prefix::rank;tok_gini_slope::rank;tok_logprob_prefix::raw,trajectory,0.5868093919307629,trajectory(↑)
es_svd_ms_rr_r1,science,40,6,0.031324067656112,0.031324067656112,traj_continuity::rank;traj_late_convergence::raw;traj_reflection_count::raw;traj_late_convergence::rank;traj_max_reflection::raw,traj_novelty::rank;traj_max_reflection::rank;tok_gini_slope::raw;tok_gini_tail::raw;traj_reflection_count::rank,trajectory,0.6824190048049051,trajectory(↑)
es_svd_ms_rr_r1,science,40,7,0.011621812187217624,0.011621812187217624,tok_gini_slope::rank;traj_continuity::rank;tok_gini_tail::rank;tok_gini_slope::raw;traj_reflection_count::raw,traj_late_convergence::raw;traj_late_convergence::rank;traj_novelty::rank;tok_logprob_prefix::rank;tok_neg_entropy_prefix::rank,trajectory,0.5250191418616209,trajectory(↓)
es_svd_ms_rr_r1,science,40,8,0.001450006607065142,0.001450006607065142,traj_reflection_count::rank;traj_reflection_count::raw;tok_gini_tail::rank;tok_conf_recency::rank;tok_conf_prefix::rank,traj_max_reflection::rank;traj_max_reflection::raw;traj_continuity::rank;traj_continuity::raw;tok_logprob_prefix::rank,trajectory,0.7047269520194288,trajectory(↓)
es_svd_ms_rr_r1,science,40,9,0.0032553351851763966,0.0032553351851763966,tok_gini_slope::rank;tok_gini_slope::raw;traj_novelty::raw;tok_conf_recency::rank;traj_late_convergence::raw,tok_gini_tail::rank;tok_gini_tail::raw;traj_max_reflection::rank;traj_continuity::raw;traj_max_reflection::raw,uncertainty,0.7124532153539219,uncertainty(↓)
es_svd_ms_rr_r1,science,40,10,0.12367786213358398,0.12367786213358398,traj_continuity::raw;traj_reflection_count::raw;tok_conf_prefix::raw;tok_conf_recency::raw;tok_gini_slope::rank,traj_continuity::rank;traj_reflection_count::rank;traj_novelty::raw;tok_logprob_recency::raw;tok_logprob_prefix::raw,trajectory,0.4744506917770436,trajectory(↑)
es_svd_ms_rr_r1,science,40,11,0.025573262840013808,0.025573262840013808,tok_conf_recency::rank;tok_conf_prefix::rank;tok_conf_recency::raw;tok_conf_prefix::raw;traj_max_reflection::raw,traj_reflection_count::rank;tok_logprob_recency::rank;tok_logprob_prefix::rank;traj_continuity::rank;traj_novelty::rank,confidence,0.3244743714797281,confidence(↑)
es_svd_ms_rr_r1,science,40,12,0.1454296602874218,0.1454296602874218,tok_gini_slope::raw;traj_reflection_count::raw;tok_gini_tail::raw;traj_novelty::raw;traj_late_convergence::raw,tok_gini_slope::rank;traj_late_convergence::rank;tok_gini_tail::rank;tok_logprob_prefix::raw;tok_logprob_recency::raw,uncertainty,0.4793798167124229,uncertainty(↑)
